과제번호,질환,질환_en,표적,모달리티,모달리티_대분류,개발단계,개발단계_en,보유기관,적응증,과제명,현재상태,성공가능성_pct,성공가능성_근거
RS-2024-00443425,종양,Oncology,GSPT1,Antibody,바이오/첨단,발굴,Discovery,테라펙스,Acute myeloid leukemia,재발/불응성 급성 골수성 백혈병 치료를 위한 GSPT1 분해제 기반의 신규 CD33 항체접합체(ADC)의 후보 물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00341192,종양,Oncology,"EphA2, PD-L1",Cell therapies,바이오/첨단,발굴,Discovery,박셀바이오,Solid tumor (Ovarian Cancer),모노바디 플랫폼을 이용한 다중표적 CAR-T 고형암세포치료제개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00338363,종양,Oncology,USP1,Small molecules,합성/저분자,발굴,Discovery,(주)아이젠사이언스,Cancer (BRCA Mutant),USP1 타겟의 저분자 화합물을 이용한 신규 합성치사 기전의 BRCA 변이암 치료제에 대한 후보물질 도출 연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00337759,종양,Oncology,MUC1,Cell therapies,바이오/첨단,발굴,Discovery,주식회사 티카로스,MUC1 positive solid cancer,AviCLIP-CAR 기술을 이용한 고형종양표적 MUC1 CAR-T 세포치료제 후보물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00336489,종양,Oncology,pMHC,Cell therapies,바이오/첨단,발굴,Discovery,주식회사 다안바이오테라퓨틱스,EGFR L858R mutant lung cancer,EGFR L858R 돌연변이 폐암 환자에 치료 효과를 가지는 T 세포 수용체를 이용한 세포 치료제 약물의 후보 물질 선정 및 임상시험 허가 신청 자료 준비,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00333872,종양,Oncology,HER2,Other-Bio.,바이오/첨단,발굴,Discovery,케이엠디바이오,HER2 low Gastric Cancer,HER2 저발현 (HER2 low) 위암을 Target 하는 신규 Modality인 항체접합나노입자(ACNP) 기반 후보물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00333115,종양,Oncology,XBP1s,Small molecules,합성/저분자,발굴,Discovery,(주)씨앤드씨신약연구소,Metastatic Castration Resistant Prostate Cancer,ER stress 인자인 XBP1s의 직접적 저해를 통한 표준치료제 불응성/저항성 전립선암 치료제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2024-00332252,종양,Oncology,Epithelial Cell Adhesion Molecule (EpCAM),Gene & Nucleic acids,바이오/첨단,발굴,Discovery,주식회사 젠셀메드,Ovarian cancer,난소암 표적 면역항암제 oHSV-1 후보물질 도출 연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00283890,종양,Oncology,PKMYT1,Small molecules,합성/저분자,발굴,Discovery,보로노이(주),Solid tumor,CCNE1 증폭 고형암 치료제 개발을 위한 저분자 PKMYT1 억제제 후보 물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00283732,종양,Oncology,"IL.15RF, HLA.G",Cell therapies,바이오/첨단,발굴,Discovery,테라베스트,Liver cancer,고형암 치료 목적 면역회피능 및 지속성 향상 Universal iPSC(유도만능줄기세포) 유래 NK세포치료제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00283511,종양,Oncology,Myc,Small molecules,합성/저분자,발굴,Discovery,주식회사 인큐릭스,Cancer,난치성 고형암 및 급성 혈액암 치료를 위한 first.in.class Myc 저해제 후보물질 개발연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00282701,종양,Oncology,BRD4.NUT,Small molecules,합성/저분자,발굴,Discovery,주식회사 이노큐어테라퓨틱스,NUT Midline Carcinoma,BRD4.NUT 표적 단백질 분해제를 이용한 NMC 치료제 후보 물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00282594,종양,Oncology,KRAS/G12D,Gene & Nucleic acids,바이오/첨단,발굴,Discovery,(주)엑솔런스,Pancreatic cancer,KRAS/G12D 변이 췌장암에 대한 siRNA 치료제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00259457,종양,Oncology,SMARCA2/4,Small molecules,합성/저분자,발굴,Discovery,현대약품(주),"NSCLC, Melanoma",SMARCA2/4를 타겟으로 하는 신규 저분자 항암제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00258859,종양,Oncology,STAT3/5,Small molecules,합성/저분자,발굴,Discovery,(주)씨앤드씨신약연구소,Acute Myeloid Leukemia,선택적 STAT5/3 단백질의 직접적 이중 저해를 통한 FLT3 저해제 재발성 및 불응성 급성 골수성 백혈병 (AML) 치료제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00258594,종양,Oncology,Androgen receptor (AR) and AR.V7,Small molecules,합성/저분자,발굴,Discovery,주식회사 인큐릭스,Castration.resistant prostate cancer,거세저항성 전립선암 치료를 위한 AR 및 AR.v7의 DNA 결합 직접저해제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00258484,종양,Oncology,BRAF,Gene & Nucleic acids,바이오/첨단,발굴,Discovery,소바젠주식회사,Pediatric brain tumor,BRAF 변이 소아 뇌종양의 first.in.class RNA 치료제 후보물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00258167,종양,Oncology,PD.1/PD.L1,Small molecules,합성/저분자,발굴,Discovery,(주)아이랩,Solid Cancer,PD.L1 타겟의 저분자 화합물 면역 관문 억제제에 대한 후보물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00218641,종양,Oncology,CAIX,rProtein,바이오/첨단,발굴,Discovery,씨바이오멕스,ccRCC,CAIX-표적 종양 진단 및 치료용 방사성의약품 개발을 위한 펩타이드 후보물질 CBT-001-839의 유효성 및 안전성 평가,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00218182,종양,Oncology,CLDN3,Antibody,바이오/첨단,발굴,Discovery,에이비온주식회사,CLDN3hi solid cancer,클라우딘3 과발현 고형암에 대한 First-in-Class 항체치료제 후보물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00217674,종양,Oncology,SOS1,Small molecules,합성/저분자,발굴,Discovery,제일약품주식회사,"KRAS-mutated solid cancer(Pancreatic, Lung, Colon cancer)",KRAS 변이 고형암 치료를 위한 SOS1 저해 비임상 후보물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00217478,종양,Oncology,TCTP,Antibody,바이오/첨단,발굴,Discovery,부스트이뮨,Solid Cancer,TCTP를 타겟하는 항체를 이용하여 골수유래면역억제세포를 저해하는 고형암 치료 면역항암제 후보물질 최적화 및 비임상 개발 진입 가능한 후보물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00217215,종양,Oncology,메소텔린,Cell therapies,바이오/첨단,발굴,Discovery,셀렌진,Ovarian cancer,재발성 상피성 난소암 표적 최적화된 CAR-T 치료제 효능 평가,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2023-00217095,종양,Oncology,EGFR,Small molecules,합성/저분자,발굴,Discovery,에이치케이이노엔(주),NSCLC,비소세포암 치료를 위한 차세대 알로스테릭 EGFR 저해제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2022-00166852,종양,Oncology,CK1α,TPD,표적단백질분해(TPD),발굴,Discovery,(주)핀테라퓨틱스,AML,CK1α 선택적 단백질 분해 화합물을 활용한 급성 골수성 백혈병 치료제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2022-00166851,종양,Oncology,"FAP, IL-12",rProtein,바이오/첨단,발굴,Discovery,주식회사 카나프테라퓨틱스,Solid Tumor,항 FAP 및 IL-12 변이체의 항체 사이토카인 융합 단백질을 이용한 차세대 면역 항암제 비임상 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2022-00166539,종양,Oncology,IFN-β,rProtein,바이오/첨단,발굴,Discovery,주식회사 제노팜,HER2+ tumor,인터페론-베타 면역사이토카인의 유효성 평가 및 생산공정 연구를 통한 HER2양성 암 치료제 후보물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2022-00166284,종양,Oncology,Non-Hodgkin Lymphoma,Other-Bio.,바이오/첨단,발굴,Discovery,(주)프로지니어,Non-Hodgkin lymphoma,개인 맞춤형 림프종 항암 백신의 비임상 단계 진입을 위한 후보물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2022-00166187,종양,Oncology,Tumor specific neoantigens predicted from deep learning platform technology,rProtein,바이오/첨단,발굴,Discovery,펜타메딕스,Lung cancer,진행성 폐암환자에서 면역관문억제제 불응성 극복을 위한 개인맞춤형 항암백신,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2022-00166009,종양,Oncology,"EGFR, 4-1BB",Antibody,바이오/첨단,발굴,Discovery,주식회사 씨티셀즈,Colorectal cancer,대장암 치료제 RACE-111 (EGFRx4-1BB) 이중항체의 비임상 후보물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2022-00165974,종양,Oncology,Cytosine Deaminase,Cell therapies,바이오/첨단,발굴,Discovery,주식회사 셀레브레인,Glioblastoma,고형암 치료목적의 유전자세포치료제 후보물질 확보,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0682,종양,Oncology,KRAS,Small molecules,합성/저분자,발굴,Discovery,주식회사 자이메디,Colorectal cancer (KRAS mutation),KRAS 저해를 통한 항암 후보물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0637,종양,Oncology,Colorectal cancer (late stage) patients,Other-Bio.,바이오/첨단,발굴,Discovery,(주)씨앤큐어,Colorectal cancer,약독화 살모넬라 및 항 PD-L1 항체를 이용한 대장암 치료 병용요법 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0563,종양,Oncology,PLK1,TPD,표적단백질분해(TPD),발굴,Discovery,단디큐어㈜,NSCLC,PROTAC 기반 Polo-like kinase1(PLK1) 단백질 분해를 이용한 비소세포폐암(NSCLC) 타겟 신약 후보물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0469,종양,Oncology,Cytosine Deaminase,Gene & Nucleic acids,바이오/첨단,발굴,Discovery,㈜알티큐어,Glioblastoma,온코스프레딩 바이러스 항암유전자치료제(ARTI 101) 비임상단계 진입을 위한 후보물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0442,종양,Oncology,B7-H3/TGF-β,Antibody,바이오/첨단,발굴,Discovery,세라노틱스㈜,Solid Tumor,고형암 신규 타겟에 대한 치료용 항체 후보물질 도출 및 비임상 진입,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0269,종양,Oncology,Neoantigen,Cell therapies,바이오/첨단,발굴,Discovery,(주)네오젠티씨,Solid Tumor,신생항원 타겟의 TCR-T 세포를 이용한 항암기전의 개인맞춤 고형암 치료제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0147,종양,Oncology,GFRAL,Antibody,바이오/첨단,발굴,Discovery,주식회사 트로이와이,Cancer Cachexia,항 GFRAL 항체를 이용한 암악액질 치료제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0066,종양,Oncology,SHP2,Small molecules,합성/저분자,발굴,Discovery,주식회사 카나프테라퓨틱스,"Nsclc, Colerectal Cancer, Head and Neck Cancer, Esophageal Cancer",RAS pathway 타겟팅 표적 항암제 및 면역 항암제 이중 기전을 갖는 BBB 투과 가능한 SHP2 allosteric 저해제 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN22C0050,종양,Oncology,"PD-L1, IL-2",Antibody,바이오/첨단,발굴,Discovery,머스트바이오 주식회사,Solid Tumor,신규 이중항체 기반 기술을 적용한 PD-L1 x IL-2v 면역항암제 후보물질 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C1337,종양,Oncology,"HLA-G, CD3",Antibody,바이오/첨단,발굴,Discovery,주식회사 와이바이오로직스,Colorectal cancer,대장암 치료를 위한 항-HLA-G/CD3 T-세포 연결 이중항체 후보물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C1308,종양,Oncology,KRAS mutant,rProtein,바이오/첨단,발굴,Discovery,엔에이백신연구소,"Pancreatic cancer, Lung cancer",KRAS 돌연변이를 가진 췌장암과 폐암을 치료할 수 있는 차세대 펩타이드 백신 개발,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C1026,종양,Oncology,TRIM29,Small molecules,합성/저분자,발굴,Discovery,(주)스파크바이오파마,Solid Tumor,STING 단백질 분해 억제 기전의 면역항암제 후보물질도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C0826,종양,Oncology,HER2,Small molecules,합성/저분자,발굴,Discovery,주식회사 비투에스바이오,Breast cancer,뇌투과성이 높은 HER2 타겟의 저분자 화합물을 이용한 HER2 양성 유방암 치료제에 대한 후보물질 발굴,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C0823,종양,Oncology,BTK (C481S),Small molecules,합성/저분자,발굴,Discovery,(주)메디톡스,CML,BTK C481S 내성극복 가역적 BTK 저해제를 이용한 만성림프구성백혈병 치료제 후보물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C0803,종양,Oncology,FGFR3,Antibody,바이오/첨단,발굴,Discovery,(주)에임드바이오,Glioblastoma,뇌종양 치료용 항FGFR3 ADC의 후보물질 도출,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C0764,종양,Oncology,CD40,Cell therapies,바이오/첨단,발굴,Discovery,주식회사 티카로스,Blood tumor,CD40양성 혈액종양표적 Probe&Catch CAR-T세포 후보물질 도출 연구,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
HN21C0596,종양,Oncology,TIGIT,Antibody,바이오/첨단,발굴,Discovery,한올바이오파마㈜,Solid Tumor,Fc 기능을 강화한 차세대 anti-TIGIT 면역항암항체의 후보물질확정,진행중 (국가신약개발사업 협약과제),1.5,"추정(발굴→승인, 업계 통용)"
RS-2025-25455606,종양,Oncology,"PD-L1, VEGF-A, PLGF",Antibody,바이오/첨단,비임상,Preclinical,(주)파노로스바이오사이언스,"PDAC (Gateway to NSCLC, TNBC, and immune-excluded/fibrotic solid tumors)",차세대 췌장암 삼중표적 (VEGF-A/PlGF/PD-L1) 면역항암제 PB203의 비임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2025-25455321,종양,Oncology,undisclosed,Antibody,바이오/첨단,비임상,Preclinical,(주)에임드바이오,Solid tumor,유사 타이로신 키나제 수용체를 표적하는 고형암 치료 항체-약물 접합체 (ADC) 신약의 비임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2025-25455212,종양,Oncology,GD2,Cell therapies,바이오/첨단,비임상,Preclinical,바이젠셀(주),Glioblastoma,삼중 기능 개선 유도만능줄기세포 유래 항-GD2 CAR 자연살해세포 기반 재발성 교모세포종 치료제 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2025-25455195,종양,Oncology,SOS1,Small molecules,합성/저분자,비임상,Preclinical,제일약품주식회사,"KRAS mutated cancers (NSCLC, CRC, PDAC)",KRAS-SOS1 상호작용 저해 기전의 pan-KRAS 저해제 JSC-441 의 비임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2025-25454976,종양,Oncology,Photodynamic therapy,Small molecules,합성/저분자,비임상,Preclinical,한림제약주식회사,Esophageal cancer,차세대 광감작제 HL270을 이용한 암세포 선택적 광역학 치료 기전의 식도암 치료기술 개발 비임상 연구,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2025-25454770,종양,Oncology,Prostate-Specific Membrane Antigen (PSMA),RPT,바이오/첨단,비임상,Preclinical,주식회사 셀비온,Metastatic Castration-Resistant Prostate Cancer (mCRPC),전이성 거세저항성 전립선암을 표적으로 하는 알파 핵종 (Ac-225) 이용 치료용 방사성의약품 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2025-25454748,종양,Oncology,BCMA,Cell therapies,바이오/첨단,비임상,Preclinical,주식회사 엔세이지,Multiple Myeloma,고효율 BCMA CAR-T 세포치료제의 비임상시험 및 IND filing,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2025-25449690,종양,Oncology,TGF-β and ***,rProtein,바이오/첨단,비임상,Preclinical,주식회사 메드팩토,Solid tumors,종양미세환경 특이적 타겟팅을 통한 혁신 항암치료제 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2025-02223662,종양,Oncology,MILs (골수침윤림프구),Cell therapies,바이오/첨단,비임상,Preclinical,박셀바이오,Multiple Myeloma,다발골수종 치료를 위한 BCMA 표적-키메라 항원 수용체 발현 골수침윤림프구(CAR-MILs) 치료제 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2025-02213729,종양,Oncology,TCTP,Antibody,바이오/첨단,비임상,Preclinical,NEX-I,Colon cancer,TCTP 표적 항체를 이용한 MSS 대장암 치료제의 비임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2025-02213655,종양,Oncology,Target A,Antibody,바이오/첨단,비임상,Preclinical,(주)에임드바이오,Solid cancer,Src 키나아제 관련 막관통 단백질을 표적하는 고형암 치료 항체-약물 접합체(ADC) 신약의 비임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2025-02213327,종양,Oncology,POLQ,Small molecules,합성/저분자,비임상,Preclinical,대웅제약,BRCA mutated solid cancer,BRCA 변이 고형암 환자를 위한 POLQ 저해 합성치사 항암제 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2025-02213314,종양,Oncology,MUC-1 peptide stimulation,Cell therapies,바이오/첨단,비임상,Preclinical,(주)차바이오텍,Ovarian cancer,"재발성 난소암에 대한 차세대 기능강화 종양침윤림프구 (Tumor Infiltrating Lymphocyte,TIL) 세포치료제 임상 1상 IND 승인",진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2025-02122974,종양,Oncology,BCR 가변영역,Other-Bio.,바이오/첨단,비임상,Preclinical,프로지니어(주),non-Hodgkin lymphoma,면역증강제인 ProLNG-001의 종양내 투여 및 B-세포 수용체 타겟의 개인맞춤형 항암 백신인 ProV-001 투여로 구성된 면역학적 치료에 대한 IND 승인,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2024-00463361,종양,Oncology,CD19,Cell therapies,바이오/첨단,비임상,Preclinical,주식회사 지씨셀,B- cell lymphoma,CD19 CAR-NK의 혈액암 임상 1상 진입을 위한 비임상 연구,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2024-00462280,종양,Oncology,TEAD1,Small molecules,합성/저분자,비임상,Preclinical,대웅제약,"Solid cancer (NF2 mutant, EGFR mutant, KRAS mutant)",NF2 변이 고형암 환자를 위한 TEAD1 선택적 저해제 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2024-00459772,종양,Oncology,"PD-1, IL-2 receptor in activated T cells",Antibody,바이오/첨단,비임상,Preclinical,머스트바이오㈜,Solid tumor,IL-2Rγ 결합력을 조절하여 TME 선택성과 안전성을 획기적으로 개선한 aPD-1/IL-2v 이중융합 면역항암제의 비임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2024-00442212,종양,Oncology,cMET,Antibody,바이오/첨단,비임상,Preclinical,(주)종근당,Non-small cell lung cancer,비소세포폐암 항체-약물 중합체 신약 CKD-ADC의 비임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2024-00441932,종양,Oncology,CK1-alpha degrader,TPD,표적단백질분해(TPD),비임상,Preclinical,(주)핀테라퓨틱스,"ACC, CRC",CK1α 선택적 단백질 분해 화합물을 활용한 p53 wild-type solid cancer 치료제 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2024-00338747,종양,Oncology,TK & CD genes,Gene & Nucleic acids,바이오/첨단,비임상,Preclinical,알티큐어,Glioblastoma,온코스프레딩 레트로바이러스벡터 기반 교모세포종 유전자치료제 비임상개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2024-00337888,종양,Oncology,Folate receptor,RPT,바이오/첨단,비임상,Preclinical,지티아이바이오사이언스,Ovarian cancer,글로벌 시장 진출을 위한 나노 약물 전달체 기반 난소암 치료용 방사성 의약품의 비임상 연구,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2024-00337146,종양,Oncology,N/A,rProtein,바이오/첨단,비임상,Preclinical,주식회사 엔에이백신연구소,"GBM Glioblastoma, multifocal",차세대 백신 플랫폼을 통한 교모세포종 치료제 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2024-00336882,종양,Oncology,HER2,Antibody,바이오/첨단,비임상,Preclinical,상트네어바이오사이언스,"Breast cancer, Gastric cancer",유방암 및 위암 치료를 위한 CTN001 비임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2024-00336376,종양,Oncology,CD39,Small molecules,합성/저분자,비임상,Preclinical,에스씨바이오,Colorectal cancer,"경구투약이 가능한 CD39 타겟 저해제인 전임상 후보물질에 대한 CMC, GLP-tox 시험 완료, 임상 시험약 생산 완료 및 임상 1상시험의 IND 승인",진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2024-00334310,종양,Oncology,,Cell therapies,바이오/첨단,비임상,Preclinical,(주)차바이오텍,Recurrent glioblastoma,"공정 고도화를 통해 개선된 고순도, 동결제형의 면역세포 치료제(CBT101)를 이용한 재발성 교모세포종 치료제에 대한 임상2상 IND 승인",진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2023-00283208,종양,Oncology,KRAS.SOS1 PPI,Small molecules,합성/저분자,비임상,Preclinical,주식회사 사이러스테라퓨틱스,Solid tumor,KRAS 돌연변이 고형암 치료용 SOS1 저해제 C2.558의 비임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2023-00282972,종양,Oncology,GSPT1,TPD,표적단백질분해(TPD),비임상,Preclinical,주식회사 사이러스테라퓨틱스,"SCLC, AML",소세포폐암 및 급성골수성백혈병 치료를 위한 GSPT1 분해제(Molecular Glue Degrader) CYRS1542의 비임상개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2023-00282706,종양,Oncology,FGFR3,Antibody,바이오/첨단,비임상,Preclinical,(주)에임드바이오,Glioblastoma,방광암 및 뇌종양 치료를 위한 항.FGFR3 ADC의 비임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2023-00282541,종양,Oncology,HLA.G,Cell therapies,바이오/첨단,비임상,Preclinical,에이치케이이노엔(주),Solid tumor,HLA.G 양성 고형암을 대상으로 하는 HLA.G 표적 CAR.T 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2023-00259138,종양,Oncology,MET (a receptor tyrosine kinase),TPD,표적단백질분해(TPD),비임상,Preclinical,주식회사 이노큐어테라퓨틱스,NSCLC,비소세포폐암에서 MET 표적 단백질 분해 치료제의 비임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2023-00258142,종양,Oncology,Androgen receptor (AR),TPD,표적단백질분해(TPD),비임상,Preclinical,주식회사 유빅스테라퓨틱스,Castration.resistant prostate cancer,전립선암 치료용 AR 분해제 UBX.103335의 비임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2023-00219493,종양,Oncology,CLDN18.2,Antibody,바이오/첨단,비임상,Preclinical,앱티스주식회사,"Gastric cancer, Gastroesophageal junction edema cancer",위암 치료용 클라우딘 18.2 표적 항체-약물 복합체의 비임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2023-00218894,종양,Oncology,SIRT6,Small molecules,합성/저분자,비임상,Preclinical,에스씨바이오,pancreatic cancer,신규기전 항암제로서 Sirt6 타겟 활성제 SCB0020160의 전임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2023-00218402,종양,Oncology,"PD-L1, TIGIT",rProtein,바이오/첨단,비임상,Preclinical,주식회사 셀레메디,"NSCLC, Melanoma",이중 면역관문 억제 및 engager 기능의 비항체 면역항암제 Cellem001 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2023-00217541,종양,Oncology,HER2,Small molecules,합성/저분자,비임상,Preclinical,보로노이(주),"Breast cancer, Colon cancer","VRN101099, 뇌투과도를 보유한 HER2 선택적 저해제의 비임상 연구",진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2023-00217374,종양,Oncology,let-7i-5p miRNA,Gene & Nucleic acids,바이오/첨단,비임상,Preclinical,(주)네오나,Liver cancer,대식세포 활성 기반 RNA 혁신 신약 NRT-YHD-001의 간암 면역 항암제 비임상 연구,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
RS-2022-00167113,종양,Oncology,PLK1,TPD,표적단백질분해(TPD),비임상,Preclinical,업테라,NSCLC,PROTAC 기반의 PLK1 단백질 분해를 통해 소세포폐암을 치료하는 항암신약후보 물질의 비임상 개발,진행중 (국가신약개발사업 협약과제),6.0,"추정(비임상→승인, 업계 통용)"
